title,price,year,mileage,transmission,location,url,listing_date
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible/GOOD CONDITION/APPLE CAR PLAY,135000.0,2021,37500,Manual,"Petaling Jaya, Selangor",https://www.carlist.my/used-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible-good-condition-apple-car-play/19128600,2026-07-21
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible TIPTOP CONDITION LOW MILAGE CONDITION NO ANY HIDDEN CHARGE CALL OF VIEW CAR READY STOCK ON SHOWROOM,138800.0,2021,37500,Manual,"Cheras, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible-tiptop-condition-low-milage-condition-no-any-hidden-charge-call-of-view-car-ready-stock-on-showroom/19171196,2026-07-21
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible,149000.0,2021,27500,Manual,"Setapak, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible/19227653,2026-07-21
2021 Mazda MX-5 RF 2.0L (M) VS / LSD / BBS /BREMBO,159000.0,2021,27499,Manual,"Cyberjaya, Selangor",https://www.mudah.my/2021-mazda-mx-5-rf-2-0l-m-vs-lsd-bbs-brembo-114139503.htm,2026-07-21
"2022 Mazda ROADSTER MX-5 2.0 TERRACOTTA -BOSE, BSM",149800.0,2022,7499,Manual,"Petaling Jaya, Selangor",https://www.mudah.my/2022-mazda-roadster-mx-5-2-0-terracotta-bose-bsm-114159494.htm,2026-07-21
2018 Mazda MX-5 2.0 SKYACTIV-G RF HARD TOP - LOW MILEAGE / MS KIT / ORIGINAL CONDITION / 1 YEAR WARRANTY,117888.0,2018,37500,Manual,"Cheras, Kuala Lumpur",https://www.carlist.my/used-cars/2018-mazda-mx-5-2-0-skyactiv-g-rf-hard-top-low-mileage-ms-kit-original-condition-1-year-warranty/18921521,2026-07-22
2018 Mazda ROADSTER MX-5 2.0 SKYACTIV-G RF Convertible (MT) RS Spec & Recaro Seats & Brembo Brakes ( 2026 JANUARY STOCK ),126800.0,2018,72500,Manual,"Cheras, Selangor",https://www.carlist.my/used-cars/2018-mazda-roadster-mx-5-2-0-skyactiv-g-rf-convertible-mt-rs-spec-recaro-seats-brembo-brakes-2026-january-stock/18599800,2026-07-22
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible,128000.0,2021,36000,Manual,"Sungai Besi, Kuala Lumpur",https://www.carlist.my/used-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible/19019338,2026-07-22
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible/GOOD CONDITION/APPLE CAR PLAY,135000.0,2021,37500,Manual,"Petaling Jaya, Selangor",https://www.carlist.my/used-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible-good-condition-apple-car-play/19128600,2026-07-22
2021 READY STOCK GREY HARD TOP Mazda MX5 MX-5 2.0 SKYACTIV-G RF Convertible,138000.0,2021,37500,Manual,"Cheras, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-ready-stock-grey-hard-top-mazda-mx5-mx-5-2-0-skyactiv-g-rf-convertible/19100167,2026-07-22
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible TIPTOP CONDITION LOW MILAGE CONDITION NO ANY HIDDEN CHARGE CALL OF VIEW CAR READY STOCK ON SHOWROOM,138800.0,2021,37500,Manual,"Cheras, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible-tiptop-condition-low-milage-condition-no-any-hidden-charge-call-of-view-car-ready-stock-on-showroom/19171196,2026-07-22
MACHINE GREY - MANUAL - ND2 MIATA HARDTOP - 2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible Roadster MX5,140000.0,2021,37500,Manual,"Bangsar, Kuala Lumpur",https://www.carlist.my/recon-cars/machine-grey-manual-nd2-miata-hardtop-2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible-roadster-mx5/19143444,2026-07-22
CUSTOM BODYKIT - MIATA ND2 MX5 - Manual - 2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible,144000.0,2021,37500,Manual,"Bangsar, Kuala Lumpur",https://www.carlist.my/recon-cars/custom-bodykit-miata-nd2-mx5-manual-2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible/19072192,2026-07-22
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible,149000.0,2021,27500,Manual,"Setapak, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible/19099528,2026-07-22
2021 Mazda MX-5 2.0 SKYACTIV-G RF Convertible,155000.0,2021,27500,Manual,"Cheras, Kuala Lumpur",https://www.carlist.my/recon-cars/2021-mazda-mx-5-2-0-skyactiv-g-rf-convertible/18854443,2026-07-22
2023 Mazda MX-5 2.0 SKYACTIV-G RF Convertible (Incoming Stock),144962.0,2023,17500,Manual,"Shah Alam, Selangor",https://www.carlist.my/recon-cars/2023-mazda-mx-5-2-0-skyactiv-g-rf-convertible-incoming-stock/19108169,2026-07-22
